iter	Passed	Remaining
653	22730	12025
654	22759	11987
655	22807	11960
656	22833	11920
657	22862	11883
658	22892	11845
659	22921	11807
660	22950	11770
661	22980	11733
662	23016	11699
663	23046	11661
664	23074	11623
665	23104	11587
666	23134	11549
667	23163	11512
668	23193	11475
669	23234	11443
670	23265	11407
671	23306	11375
672	23334	11338
673	23363	11300
674	23391	11262
675	23421	11225
676	23455	11190
677	23484	11153
678	23513	11116
679	23542	11079
680	23570	11041
681	23599	11003
682	23631	10968
683	23727	10961
684	23783	10937
685	23813	10900
686	23844	10863
687	23878	10828
688	23908	10791
689	23938	10754
690	23967	10717
691	23997	10680
692	24026	10643
693	24057	10607
694	24091	10572
695	24119	10534
696	24147	10497
697	24176	10460
698	24206	10423
699	24234	10386
700	24263	10349
701	24296	10313
702	24326	10277
703	24355	10240
704	24384	10203
705	24411	10165
706	24440	10128
707	24470	10092
708	24513	10061
709	24549	10027
710	24577	9989
711	24607	9953
712	24638	9917
713	24668	9881
714	24692	9842
715	24729	9808
716	24762	9773
717	24793	9738
718	24823	9701
719	24852	9664
720	24882	9628
721	24911	9592
722	24943	9556
723	24979	9522
724	25014	9488
725	25045	9452
726	25080	9418
727	25118	9384
728	25152	9350
729	25189	9316
730	25224	9282
731	25258	9247
732	25295	9213
733	25322	9176
734	25348	9139
735	25382	9104
736	25428	9074
737	25459	9038
738	25493	9003
739	25528	8969
740	25560	8933
741	25594	8899
742	25631	8865
743	25662	8830
744	25695	8795
745	25731	8761
746	25773	8729
747	25806	8694
748	25844	8660
749	25873	8624
750	25908	8590
751	25946	8556
752	25974	8520
753	26004	8484
754	26029	8446
755	26070	8414
756	26105	8380
757	26136	8344
758	26182	8313
759	26214	8278
760	26253	8245
761	26305	8216
762	26336	8180
763	26373	8146
764	26400	8109
765	26432	8074
766	26460	8038
767	26501	8005
768	26539	7972
769	26570	7936
770	26602	7901
771	26632	7865
772	26663	7829
773	26700	7796
774	26730	7760
775	26761	7724
776	26790	7688
777	26821	7653
778	26851	7617
779	26881	7581
780	26913	7546
781	26948	7512
782	26978	7476
783	27009	7441
784	27038	7405
785	27067	7369
786	27097	7333
787	27129	7298
788	27177	7268
789	27208	7232
790	27239	7197
791	27268	7161
792	27298	7125
793	27330	7090
794	27364	7056
795	27395	7020
796	27426	6985
797	27456	6950
798	27486	6914
799	27515	6878
800	27546	6843
801	27577	6808
802	27612	6774
803	27642	6738
804	27672	6703
805	27703	6668
806	27732	6632
807	27762	6597
808	27793	6561
809	27828	6527
810	27859	6492
811	27889	6457
812	27920	6422
813	27951	6386
814	27982	6351
815	28012	6316
816	28061	6285
817	28092	6250
818	28122	6215
819	28152	6179
820	28183	6144
821	28214	6109
822	28250	6075
823	28282	6040
824	28312	6005
825	28341	5970
826	28371	5935
827	28402	5900
828	28432	5864
829	28467	5830
830	28499	5795
831	28529	5760
832	28560	5725
833	28589	5690
834	28621	5655
835	28652	5620
836	28687	5586
837	28719	5551
838	28749	5516
839	28780	5482
840	28812	5447
841	28842	5412
842	28873	5377
843	28910	5343
844	28941	5308
845	28970	5273
846	29001	5238
847	29031	5203
848	29062	5168
849	29095	5134
850	29145	5103
851	29176	5068
852	29206	5033
853	29237	4998
854	29266	4963
855	29296	4928
856	29331	4894
857	29362	4859
858	29392	4824
859	29422	4789
860	29453	4754
861	29481	4719
862	29511	4684
863	29543	4650
864	29578	4616
865	29611	4581
866	29640	4546
867	29671	4512
868	29702	4477
869	29732	4442
870	29762	4407
871	29799	4374
872	29828	4339
873	29858	4304
874	29888	4269
875	29919	4235
876	29949	4200
877	29984	4166
878	30031	4134
879	30062	4099
880	30091	4064
881	30122	4029
882	30152	3995
883	30183	3960
884	30215	3926
885	30249	3892
886	30280	3857
887	30311	3823
888	30340	3788
889	30370	3753
890	30401	3719
891	30431	3684
892	30467	3650
893	30498	3616
894	30528	3581
895	30559	3547
896	30588	3512
897	30619	3477
898	30649	3443
899	30684	3409
900	30715	3374
901	30761	3342
902	30793	3307
903	30827	3273
904	30857	3239
905	30906	3206
906	30938	3172
907	30967	3137
908	30997	3103
909	31028	3068
910	31058	3034
911	31091	3000
912	31124	2965
913	31155	2931
914	31185	2896
915	31222	2863
916	31254	2828
917	31285	2794
918	31314	2759
919	31352	2726
920	31381	2691
921	31410	2657
922	31440	2622
923	31470	2588
924	31500	2554
925	31532	2519
926	31566	2485
927	31596	2451
928	31626	2417
929	31656	2382
930	31687	2348
931	31717	2314
932	31748	2279
933	31797	2246
934	31828	2212
935	31858	2178
936	31889	2144
937	31919	2109
938	31949	2075
939	31985	2041
940	32016	2007
941	32047	1973
942	32077	1938
943	32108	1904
944	32139	1870
945	32169	1836
946	32200	1802
947	32236	1768
948	32266	1734
949	32297	1699
950	32328	1665
951	32358	1631
952	32387	1597
953	32418	1563
954	32453	1529
955	32483	1495
956	32513	1460
957	32544	1426
958	32574	1392
959	32605	1358
960	32636	1324
961	32684	1291
962	32714	1256
963	32745	1222
964	32775	1188
965	32805	1154
966	32835	1120
967	32871	1086
968	32903	1052
969	32933	1018
970	32964	984
971	32994	950
972	33024	916
973	33055	882
974	33085	848
975	33121	814
976	33153	780
977	33183	746
978	33214	712
979	33244	678
980	33275	644
981	33305	610
982	33340	576
983	33371	542
984	33401	508
985	33431	474
986	33466	440
987	33497	406
988	33527	372
989	33574	339
990	33605	305
991	33635	271
992	33666	237
993	33698	203
994	33728	169
995	33764	135
996	33795	101
997	33824	67
998	33854	33
999	33884	0
